Text,Image,Bifolio
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.header_1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.095,0.0122,0.87,0.1075",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.116,0.1143,0.071,0.0204",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1_1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.121,0.1401,0.731,0.0327",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1_1_r1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.261,0.1592,0.159,0.0299",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1_2,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1121,0.1866,0.7277,0.0858",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1_3,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1121,0.2139,0.7277,0.0259",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1_3_r1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1872,0.2316,0.6937,0.0409",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.1_4,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1191,0.2657,0.7347,0.0463",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.2,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1201,0.2875,0.0651,0.0245",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.2_1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1211,0.3106,0.7137,0.0313",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.2_2,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1211,0.3338,0.8539,0.0245",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.2_3,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1201,0.3597,0.7297,0.045",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.2_4,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1201,0.3842,0.7297,0.0327",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.3,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1211,0.4074,0.0671,0.0259",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.3_1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1221,0.4332,0.7277,0.0259",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.3_2,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1231,0.4564,0.7277,0.0504",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.3_3,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1231,0.4837,0.7277,0.0232",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.3_4,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1201,0.5123,0.7257,0.0163",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.4,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1221,0.5354,0.0681,0.0218",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.4_1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1231,0.5586,0.7207,0.0654",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.4_2,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1201,0.5804,0.7207,0.0218",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.4_3,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1081,0.6076,0.7307,0.0218",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.4_3_r1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1021,0.6294,0.1141,0.0341",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.4_4,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1201,0.6512,0.8539,0.0232",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.5,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1181,0.6785,0.0641,0.0245",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.5_1,"urn:cite:hcmid:gen49bifolioimgs.gen49-69v-70r@0.1181,0.703,0.7267,0.0245",urn:cite:hcmid:gen49bifolios.69v_70r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.header_2,"urn:cite:hcmid:gen49bifolioimgs.gen49-70v-71r@0.0691,0.014,0.9059,0.1094",urn:cite:hcmid:gen49bifolios.70v_71r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.5_2,"urn:cite:hcmid:gen49bifolioimgs.gen49-70v-71r@0.1171,0.1136,0.7167,0.0224",urn:cite:hcmid:gen49bifolios.70v_71r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.5_3,"urn:cite:hcmid:gen49bifolioimgs.gen49-70v-71r@0.1171,0.136,0.7167,0.0898",urn:cite:hcmid:gen49bifolios.70v_71r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.5_3_r1,"urn:cite:hcmid:gen49bifolioimgs.gen49-70v-71r@0.1842,0.1585,0.1682,0.0449",urn:cite:hcmid:gen49bifolios.70v_71r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.5_4,"urn:cite:hcmid:gen49bifolioimgs.gen49-70v-71r@0.1231,0.1879,0.7107,0.0463",urn:cite:hcmid:gen49bifolios.70v_71r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.6,"urn:cite:hcmid:gen49bifolioimgs.gen49-70v-71r@0.1191,0.2202,0.0671,0.0238",urn:cite:hcmid:gen49bifolios.70v_71r
urn:cts:latinLit:stoa0162.stoa005.gen49:14.t1.6_1,"urn:cite:hcmid:gen49bifolioimgs.gen49-70v-71r@0.1241,0.2412,0.6987,0.0281",urn:cite:hcmid:gen49bifolios.70v_71r
